# Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
1246445	Nocardiopsis kunsanensis DSM 44524	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,Nocardiopsis kunsanensis,Nocardiopsis kunsanensis DSM 44524	1,131567,2,1783272,201174,1760,85012,83676,2013,141693,1246445
888059	Capnocytophaga sp. oral taxon 338 str. F0234	no rank	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga sp. oral taxon 338,Capnocytophaga sp. oral taxon 338 str. F0234	1,131567,2,1783270,68336,976,117743,200644,49546,1016,710239,888059
428125	[Clostridium] leptum DSM 753	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified Ruminococcaceae,[Clostridium] leptum,[Clostridium] leptum DSM 753	1,131567,2,1783272,1239,186801,186802,541000,552397,1535,428125
96561	Desulfococcus oleovorans Hxd3	no rank	root,cellular organisms,Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,Desulfococcus oleovorans,Desulfococcus oleovorans Hxd3	1,131567,2,1224,68525,28221,213118,213119,896,181663,96561
379899	Niabella	genus	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella	1,131567,2,1783270,68336,976,1853228,1853229,563835,379899
999411	Clostridium colicanis 209318	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium colicanis,Clostridium colicanis 209318	1,131567,2,1783272,1239,186801,186802,31979,1485,179628,999411
44011	Ferrimonas	genus	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas	1,131567,2,1224,1236,135622,267892,44011
680646	Rothia mucilaginosa DY-18	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia mucilaginosa,Rothia mucilaginosa DY-18	1,131567,2,1783272,201174,1760,85006,1268,32207,43675,680646
556325	Neomicrococcus aestuarii	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Neomicrococcus,Neomicrococcus aestuarii	1,131567,2,1783272,201174,1760,85006,1268,1868332,556325
1260251	Spiribacter salinus M19-40	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,Spiribacter salinus,Spiribacter salinus M19-40	1,131567,2,1224,1236,135613,72276,1335745,1335746,1260251
